row-order,course,course-code,course-profile-mastery-percent,unit,module,topic-id,topic-code,topic-number,topic-name,course-map-index,layer,profile-role,relation-to-334,pre-334-order,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids,direct-profile-topic-ids,estimated-remaining-topic-weight
14,Precalculus,PCL,48,3. Inequalities,3.1. Quadratic Inequalities,468,PCL.3.1.2,3.1.2,Solving Quadratic Inequalities From Graphs,36,53,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1495,1495,0.52
15,Precalculus,PCL,48,3. Inequalities,3.1. Quadratic Inequalities,3833,PCL.3.1.3,3.1.3,Solving Quadratic Inequalities Using the Graphical Method,37,54,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,425;468,468,0.52
16,Precalculus,PCL,48,3. Inequalities,3.1. Quadratic Inequalities,118,PCL.3.1.4,3.1.4,Solving Quadratic Inequalities Using the Sign Table Method,38,53,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1495,1495,0.52
17,Precalculus,PCL,48,3. Inequalities,3.2. Polynomial Inequalities,2855,PCL.3.2.1,3.2.1,Inequalities Involving Powers of Binomials,42,54,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1495;1587;3748,1495,0.52
18,Precalculus,PCL,48,3. Inequalities,3.2. Polynomial Inequalities,2147,PCL.3.2.2,3.2.2,Solving Polynomial Inequalities Using a Graphical Method,43,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,2049;3833,3833,0.52
19,Precalculus,PCL,48,3. Inequalities,3.2. Polynomial Inequalities,2162,PCL.3.2.4,3.2.4,Solving Polynomial Inequalities Using the Sign Table Method,45,54,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,118;660;727,118,0.52
20,Precalculus,PCL,48,3. Inequalities,3.3. Non-Polynomial Inequalities,2857,PCL.3.3.2,3.3.2,Solving Inequalities Involving Exponential Functions,47,63,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,30;3737;4034,,0.52
21,Precalculus,PCL,48,3. Inequalities,3.3. Non-Polynomial Inequalities,2858,PCL.3.3.3,3.3.3,Solving Inequalities Involving Logarithmic Functions,48,63,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,350;1610;1643,,0.52
22,Precalculus,PCL,48,3. Inequalities,3.3. Non-Polynomial Inequalities,2859,PCL.3.3.4,3.3.4,Solving Inequalities Involving Exponential Functions and Polynomials,49,55,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,2855;2979;3833,2855;3833,0.52
23,Precalculus,PCL,48,3. Inequalities,3.3. Non-Polynomial Inequalities,2982,PCL.3.3.5,3.3.5,Solving Inequalities Involving Positive and Negative Factors,50,63,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,350;1609;1610;2062,,0.52
24,Precalculus,PCL,48,3. Inequalities,3.3. Non-Polynomial Inequalities,3355,PCL.3.3.7,3.3.7,Solving Rational Inequalities,52,64,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,133;807;2162,133;807;2162,0.52
25,Precalculus,PCL,48,3. Inequalities,3.3. Non-Polynomial Inequalities,2076,PCL.3.3.9,3.3.9,Solving Two-Variable Nonlinear Inequalities,54,54,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,118;3822,118,0.52
26,Precalculus,PCL,48,3. Inequalities,3.3. Non-Polynomial Inequalities,3684,PCL.3.3.10,3.3.10,Further Solving of Two-Variable Nonlinear Inequalities,55,65,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,2076,2076,0.52
27,Precalculus,PCL,48,4. Trigonometry,4.1. The Inverse Trigonometric Functions,1483,PCL.4.1.1,4.1.1,Graphing the Inverse Sine Function,56,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1491;1889;3734,,0.52
28,Precalculus,PCL,48,4. Trigonometry,4.1. The Inverse Trigonometric Functions,1486,PCL.4.1.2,4.1.2,Graphing the Inverse Cosine Function,57,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1491;1889;3734,,0.52
29,Precalculus,PCL,48,4. Trigonometry,4.1. The Inverse Trigonometric Functions,1487,PCL.4.1.3,4.1.3,Graphing the Inverse Tangent Function,58,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1493;1889;3734,,0.52
30,Precalculus,PCL,48,4. Trigonometry,4.1. The Inverse Trigonometric Functions,209,PCL.4.1.4,4.1.4,Evaluating Expressions Containing Inverse Trigonometric Functions,59,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1483;1486;1487,1483;1486;1487,0.52
31,Precalculus,PCL,48,4. Trigonometry,4.2. Trigonometric Identities,203,PCL.4.2.1,4.2.1,Simplifying Expressions Using Basic Trigonometric Identities,61,59,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,436;611;3739,,0.52
32,Precalculus,PCL,48,4. Trigonometry,4.2. Trigonometric Identities,207,PCL.4.2.2,4.2.2,Simplifying Expressions Using the Pythagorean Identity,62,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,203;1453,203,0.52
33,Precalculus,PCL,48,4. Trigonometry,4.2. Trigonometric Identities,205,PCL.4.2.3,4.2.3,Alternate Forms of the Pythagorean Identity,63,67,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,207,207,0.52
34,Precalculus,PCL,48,4. Trigonometry,4.2. Trigonometric Identities,1454,PCL.4.2.4,4.2.4,Simplifying Expressions Using the Secant-Tangent Identity,64,68,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,205,205,0.52
35,Precalculus,PCL,48,4. Trigonometry,4.2. Trigonometric Identities,3857,PCL.4.2.5,4.2.5,Alternate Forms of the Secant-Tangent Identity,65,69,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1454,1454,0.52
36,Precalculus,PCL,48,4. Trigonometry,4.2. Trigonometric Identities,1455,PCL.4.2.6,4.2.6,Simplifying Trigonometric Expressions Using the Cotangent-Cosecant Identity,66,69,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,205,205,0.52
37,Precalculus,PCL,48,4. Trigonometry,4.3. The Sum and Difference Formulas,270,PCL.4.3.1,4.3.1,The Sum and Difference Formulas for Sine,68,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,3766,,0.52
38,Precalculus,PCL,48,4. Trigonometry,4.3. The Sum and Difference Formulas,274,PCL.4.3.2,4.3.2,The Sum and Difference Formulas for Cosine,69,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,3766,,0.52
39,Precalculus,PCL,48,4. Trigonometry,4.4. The Double-Angle Formulas,271,PCL.4.4.1,4.4.1,The Double-Angle Formula for Sine,75,69,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,270,270,0.52
40,Precalculus,PCL,48,4. Trigonometry,4.4. The Double-Angle Formulas,831,PCL.4.4.4,4.4.4,The Double-Angle Formula for Cosine,78,69,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,205;274,205;274,0.52
41,Precalculus,PCL,48,4. Trigonometry,4.5. Elementary Trigonometric Equations,913,PCL.4.5.1,4.5.1,Elementary Trigonometric Equations Containing Sine,83,56,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1491,,0.52
42,Precalculus,PCL,48,4. Trigonometry,4.5. Elementary Trigonometric Equations,914,PCL.4.5.2,4.5.2,Elementary Trigonometric Equations Containing Cosine,84,56,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1491,,0.52
43,Precalculus,PCL,48,4. Trigonometry,4.5. Elementary Trigonometric Equations,915,PCL.4.5.3,4.5.3,Elementary Trigonometric Equations Containing Tangent,85,56,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1493,,0.52
44,Precalculus,PCL,48,4. Trigonometry,4.5. Elementary Trigonometric Equations,1565,PCL.4.5.4,4.5.4,Elementary Trigonometric Equations Containing Secant,86,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,914;1573,914,0.52
45,Precalculus,PCL,48,4. Trigonometry,4.5. Elementary Trigonometric Equations,1566,PCL.4.5.5,4.5.5,Elementary Trigonometric Equations Containing Cosecant,87,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,913;1573,913,0.52
46,Precalculus,PCL,48,4. Trigonometry,4.5. Elementary Trigonometric Equations,1567,PCL.4.5.6,4.5.6,Elementary Trigonometric Equations Containing Cotangent,88,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,915,915,0.52
47,Precalculus,PCL,48,4. Trigonometry,4.5. Elementary Trigonometric Equations,1258,PCL.4.5.7,4.5.7,General Solutions of Elementary Trigonometric Equations,89,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1565;1566;1567;3563;3566;3567,1565;1566;1567,0.52
48,Precalculus,PCL,48,4. Trigonometry,4.6. Trigonometric Equations Containing Transformed Functions,1259,PCL.4.6.1,4.6.1,General Solutions of Trigonometric Equations With Transformed Functions,90,65,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1258,1258,0.52
49,Precalculus,PCL,48,4. Trigonometry,4.6. Trigonometric Equations Containing Transformed Functions,919,PCL.4.6.2,4.6.2,Trigonometric Equations Containing Transformed Sine Functions,91,67,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1259,1259,0.52
50,Precalculus,PCL,48,4. Trigonometry,4.6. Trigonometric Equations Containing Transformed Functions,921,PCL.4.6.3,4.6.3,Trigonometric Equations Containing Transformed Cosine Functions,92,68,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1259,1259,0.52
51,Precalculus,PCL,48,4. Trigonometry,4.6. Trigonometric Equations Containing Transformed Functions,923,PCL.4.6.4,4.6.4,Trigonometric Equations Containing Transformed Tangent Functions,93,66,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1259,1259,0.52
52,Precalculus,PCL,48,4. Trigonometry,4.7. Advanced Trigonometric Equations,947,PCL.4.7.1,4.7.1,Solving Trigonometric Equations Using the Sin-Cos-Tan Identity,94,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,203;1258,203;1258,0.52
53,Precalculus,PCL,48,4. Trigonometry,4.7. Advanced Trigonometric Equations,1471,PCL.4.7.2,4.7.2,Solving Trigonometric Equations Using the Zero-Product Property,95,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,393;1565;1566;1567,1565;1566;1567,0.52
54,Precalculus,PCL,48,5. Vectors,5.1. Introduction to Vectors,1107,PCL.5.1.1,5.1.1,Introduction to Vectors,98,38,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1379;3554,,0.52
55,Precalculus,PCL,48,5. Vectors,5.1. Introduction to Vectors,1100,PCL.5.1.2,5.1.2,The Triangle Law for the Addition of Two Vectors,99,51,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1107,1107,0.52
56,Precalculus,PCL,48,5. Vectors,5.1. Introduction to Vectors,1101,PCL.5.1.3,5.1.3,The Magnitude of a Vector,100,52,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,169;1100,1100,0.52
57,Precalculus,PCL,48,5. Vectors,5.1. Introduction to Vectors,1103,PCL.5.1.5,5.1.5,Parallel Vectors,102,53,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1101,1101,0.52
58,Precalculus,PCL,48,5. Vectors,5.1. Introduction to Vectors,1104,PCL.5.1.6,5.1.6,Unit Vectors,103,54,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1103,1103,0.52
59,Precalculus,PCL,48,5. Vectors,5.1. Introduction to Vectors,1105,PCL.5.1.7,5.1.7,Linear Combinations of Vectors and Their Properties,104,54,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,487;1103,1103,0.52
60,Precalculus,PCL,48,5. Vectors,5.2. Vectors in 2D Cartesian Coordinates,1165,PCL.5.2.1,5.2.1,Two-Dimensional Vectors Expressed in Component Form,106,55,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1104;1105,1104;1105,0.52
61,Precalculus,PCL,48,5. Vectors,5.2. Vectors in 2D Cartesian Coordinates,244,PCL.5.2.2,5.2.2,Addition and Scalar Multiplication of Cartesian Vectors in 2D,107,56,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1165,1165,0.52
62,Precalculus,PCL,48,5. Vectors,5.2. Vectors in 2D Cartesian Coordinates,176,PCL.5.2.3,5.2.3,Calculating the Magnitude of Cartesian Vectors in 2D,108,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,244,244,0.52
63,Precalculus,PCL,48,5. Vectors,5.2. Vectors in 2D Cartesian Coordinates,2036,PCL.5.2.6,5.2.6,Velocity and Acceleration for Plane Motion,111,63,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,176;2327;4638,176,0.52
64,Precalculus,PCL,48,5. Vectors,5.2. Vectors in 2D Cartesian Coordinates,3767,PCL.5.2.7,5.2.7,Calculating Displacement for Plane Motion,112,64,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,688;2036,2036,0.52
65,Precalculus,PCL,48,5. Vectors,5.3. Vectors in 3D Cartesian Coordinates,1166,PCL.5.3.1,5.3.1,Three-Dimensional Vectors in Component Form,113,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1165,1165,0.52
66,Precalculus,PCL,48,5. Vectors,5.3. Vectors in 3D Cartesian Coordinates,175,PCL.5.3.2,5.3.2,Addition and Scalar Multiplication of Cartesian Vectors in 3D,114,59,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,244;1166,244;1166,0.52
67,Precalculus,PCL,48,5. Vectors,5.3. Vectors in 3D Cartesian Coordinates,1277,PCL.5.3.3,5.3.3,Calculating the Magnitude of Cartesian Vectors in 3D,115,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,175;176;512,175;176,0.52
68,Precalculus,PCL,48,8. Parametric Equations,8.1. Parametric Equations,803,PCL.8.1.1,8.1.1,Graphing Curves Defined Parametrically,185,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1875;2062;3842,,0.52
69,Precalculus,PCL,48,9. Polar Equations,9.1. Polar Coordinates,935,PCL.9.1.1,9.1.1,Introduction to Polar Coordinates,195,55,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,459;1456,,0.52
70,Precalculus,PCL,48,9. Polar Equations,9.1. Polar Coordinates,936,PCL.9.1.2,9.1.2,Converting from Polar Coordinates to Cartesian Coordinates,196,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,935;3766,935,0.52
71,Precalculus,PCL,48,9. Polar Equations,9.1. Polar Coordinates,937,PCL.9.1.3,9.1.3,Polar Equations of Circles Centered at the Origin,197,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,842;936,936,0.52
72,Precalculus,PCL,48,9. Polar Equations,9.1. Polar Coordinates,2173,PCL.9.1.4,9.1.4,Polar Equations of Radial Lines,198,72,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,937,937,0.52
73,Precalculus,PCL,48,9. Polar Equations,9.1. Polar Coordinates,1270,PCL.9.1.5,9.1.5,Polar Equations of Circles Centered on the Coordinate Axes,199,59,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,937,937,0.52
74,Precalculus,PCL,48,9. Polar Equations,9.1. Polar Coordinates,1274,PCL.9.1.6,9.1.6,Finding Intersections of Polar Curves,200,61,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,408;947;1270,947;1270,0.52
75,Precalculus,PCL,48,10. Complex Numbers,10.1. The Complex Plane,157,PCL.10.1.1,10.1.1,The Complex Plane,201,45,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,92;735,,0.52
76,Precalculus,PCL,48,10. Complex Numbers,10.1. The Complex Plane,34,PCL.10.1.2,10.1.2,The Magnitude of a Complex Number,202,46,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,157;459,157,0.52
77,Precalculus,PCL,48,10. Complex Numbers,10.1. The Complex Plane,893,PCL.10.1.3,10.1.3,The Argument of a Complex Number,203,49,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,157;1456,157,0.52
78,Precalculus,PCL,48,10. Complex Numbers,10.2. Further Complex Numbers,892,PCL.10.2.1,10.2.1,The Complex Conjugate,206,51,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,735,,0.52
79,Precalculus,PCL,48,10. Complex Numbers,10.2. Further Complex Numbers,905,PCL.10.2.2,10.2.2,Special Properties of the Complex Conjugate,207,52,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,33;892,892,0.52
80,Precalculus,PCL,48,10. Complex Numbers,10.2. Further Complex Numbers,227,PCL.10.2.4,10.2.4,Dividing Complex Numbers,209,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,905,905,0.52
81,Precalculus,PCL,48,10. Complex Numbers,10.3. Complex Numbers in Polar Form,894,PCL.10.3.1,10.3.1,The Polar Form of a Complex Number,212,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,34;227;893;936,34;227;893;936,0.52
82,Precalculus,PCL,48,10. Complex Numbers,10.4. De Moivre's Theorem,898,PCL.10.4.4,10.4.4,Euler's Formula,219,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,894,894,0.52
83,Precalculus,PCL,48,11. Probability & Combinatorics,11.6. Combinatorics,774,PCL.11.6.2,11.6.2,Factorials,268,59,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,68,,0.52
84,Precalculus,PCL,48,11. Probability & Combinatorics,11.6. Combinatorics,3710,PCL.11.6.3,11.6.3,Factorials in Variable Expressions,269,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,371;423;774,774,0.52
85,Calculus I,CA1,32,1. Preliminaries,1.1. The Hyperbolic Functions,967,CA1.1.1.1,1.1.1,The Hyperbolic Functions,1,57,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,203;898;1475,203;898,0.68
86,Calculus I,CA1,32,1. Preliminaries,1.1. The Hyperbolic Functions,3265,CA1.1.1.2,1.1.2,The Reciprocal Hyperbolic Functions,2,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,967,967,0.68
87,Calculus I,CA1,32,1. Preliminaries,1.1. The Hyperbolic Functions,969,CA1.1.1.6,1.1.6,The Inverse Hyperbolic Functions,6,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,870;967;1610;3830,967,0.68
88,Calculus I,CA1,32,2. Limits,2.1. Estimating Limits from Graphs,461,CA1.2.1.1,2.1.1,The Finite Limit of a Function,7,43,calculus-ii-prerequisite,blocker,3,13,14,165,,0.68
89,Calculus I,CA1,32,2. Limits,2.1. Estimating Limits from Graphs,472,CA1.2.1.2,2.1.2,The Left and Right-Sided Limits of a Function,8,44,calculus-ii-prerequisite,blocker,4,12,13,461,461,0.68
90,Calculus I,CA1,32,2. Limits,2.1. Estimating Limits from Graphs,625,CA1.2.1.3,2.1.3,Finding the Existence of a Limit Using One-Sided Limits,9,45,calculus-ii-prerequisite,blocker,5,11,12,472,472,0.68
91,Calculus I,CA1,32,2. Limits,2.1. Estimating Limits from Graphs,1873,CA1.2.1.4,2.1.4,Limits at Infinity from Graphs,10,45,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,461;2048,461,0.68
92,Calculus I,CA1,32,2. Limits,2.1. Estimating Limits from Graphs,1814,CA1.2.1.5,2.1.5,Infinite Limits from Graphs,11,46,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,625;2046,625,0.68
93,Calculus I,CA1,32,2. Limits,2.2. The Algebra of Limits,1716,CA1.2.2.1,2.2.1,"Limits of Power Functions, and the Constant Rule for Limits",12,46,calculus-ii-prerequisite,blocker,6,10,11,625,625,0.68
94,Calculus I,CA1,32,2. Limits,2.2. The Algebra of Limits,1914,CA1.2.2.2,2.2.2,The Sum Rule for Limits,13,47,calculus-ii-prerequisite,blocker,7,9,10,1716,1716,0.68
95,Calculus I,CA1,32,2. Limits,2.2. The Algebra of Limits,1246,CA1.2.2.3,2.2.3,The Product and Quotient Rules for Limits,14,48,calculus-ii-prerequisite,blocker,8,8,9,1914,1914,0.68
96,Calculus I,CA1,32,2. Limits,2.2. The Algebra of Limits,37,CA1.2.2.4,2.2.4,The Power and Root Rules for Limits,15,49,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,589;1246;2607,1246,0.68
97,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1263,CA1.2.3.1,2.3.1,Limits at Infinity of Polynomials,16,53,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,37;1873;2050,37;1873,0.68
98,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1905,CA1.2.3.2,2.3.2,Limits of Reciprocal Functions,17,54,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1263;1814;2033,1263;1814,0.68
99,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1717,CA1.2.3.3,2.3.3,Limits of Exponential Functions,18,51,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1246;1873;6351,1246;1873,0.68
100,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1377,CA1.2.3.4,2.3.4,Limits of Logarithmic Functions,19,50,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1246;1707;1814;1873,1246;1814;1873,0.68
101,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1986,CA1.2.3.5,2.3.5,Limits of Radical Functions,20,50,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,37;1600;1873;3741,37;1873,0.68
102,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1719,CA1.2.3.6,2.3.6,Limits of Trigonometric Functions,21,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,37;275;654;1814;1873,37;1814;1873,0.68
103,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1958,CA1.2.3.7,2.3.7,Limits of Reciprocal Trigonometric Functions,22,59,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,776;1719,1719,0.68
104,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,3811,CA1.2.3.8,2.3.8,Limits of Inverse Trigonometric Functions,23,58,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,37;209;1254;1873,37;209;1873,0.68
105,Calculus I,CA1,32,2. Limits,2.3. Limits of Functions,1262,CA1.2.3.9,2.3.9,Limits of Piecewise Functions,24,60,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1377;1717;1905;1958;1986,1377;1717;1905;1958;1986,0.68
106,Calculus I,CA1,32,2. Limits,2.4. Determining Limits Using Algebraic Manipulation,1813,CA1.2.4.1,2.4.1,Calculating Limits of Rational Functions by Factoring,25,49,calculus-ii-prerequisite,blocker,9,7,8,428;441;1246;1676;2336,1246,0.68
107,Calculus I,CA1,32,2. Limits,2.4. Determining Limits Using Algebraic Manipulation,1903,CA1.2.4.5,2.4.5,Limits at Infinity and Horizontal Asymptotes of Rational Functions,29,55,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,808;1905,808;1905,0.68
108,Calculus I,CA1,32,2. Limits,2.4. Determining Limits Using Algebraic Manipulation,607,CA1.2.4.6,2.4.6,Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions,30,59,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1263;1377;1717;1719,1263;1377;1717;1719,0.68
109,Calculus I,CA1,32,2. Limits,2.4. Determining Limits Using Algebraic Manipulation,1815,CA1.2.4.8,2.4.8,Vertical Asymptotes of Rational Functions,32,49,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,455;1676;3739,,0.68
110,Calculus I,CA1,32,3. Continuity,3.1. Continuity,462,CA1.3.1.1,3.1.1,Determining Continuity from Graphs,40,47,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,1814,1814,0.68
111,Calculus I,CA1,32,3. Continuity,3.1. Continuity,314,CA1.3.1.2,3.1.2,Defining Continuity at a Point,41,61,calculus-ii-prerequisite,prerequisite-for-later-calculus-ii,,,,462;1262,462;1262,0.68
