classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-kinds,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
blocking,35,575,312,Integrating Exponential Functions,CA1,CA1.8.1.5,8.1.5,8. Integration,8.1. Indefinite Integrals,146,58,1159,1159:3,1361,1361,,,,,
blocking,36,576,331,Integrating Linear Rational Functions Using Substitution,CA2,CA2.1.1.2,1.1.2,1. Integration Techniques,1.1. Integration Using Substitution,2,58,443;1159,443:1;1159:2,334;1361,334;1361,,,,,
blocking,37,577,2062,Properties of Transformed Sine and Cosine Functions,AG2,AG2.9.4.1,9.4.1,9. Trigonometric Functions,9.4. Properties of Transformed Trigonometric Functions,174,59,1159,1159:7,259;388,259;388,,,,,
blocking,38,578,1958,Limits of Reciprocal Trigonometric Functions,CA1,CA1.2.3.7,2.3.7,2. Limits,2.3. Limits of Functions,22,59,1159,1159:9,776;1719,776;1719,,,,,
blocking,39,580,443,Integration Using Substitution,CA2,CA2.1.1.3,1.1.3,1. Integration Techniques,1.1. Integration Using Substitution,3,59,1159,1159:1,331,331,,,,,
blocking,40,581,5088,Finding Zeros and Extrema of Transformed Sine and Cosine Functions,AG2,AG2.9.4.2,9.4.2,9. Trigonometric Functions,9.4. Properties of Transformed Trigonometric Functions,175,60,1159,1159:6,275;2062,275;2062,,,,,
blocking,41,582,1262,Limits of Piecewise Functions,CA1,CA1.2.3.9,2.3.9,2. Limits,2.3. Limits of Functions,24,60,1159,1159:8,1377;1717;1905;1958;1986,1377;1717;1905;1958;1986,,,,,
blocking,42,584,285,Integrating Trigonometric Functions,CA1,CA1.8.1.6,8.1.6,8. Integration,8.1. Indefinite Integrals,147,60,1159,1159:3,1686;3769,1686;3769,,,,,
blocking,43,585,2064,Properties of Transformed Tangent and Cotangent Functions,AG2,AG2.9.4.3,9.4.3,9. Trigonometric Functions,9.4. Properties of Transformed Trigonometric Functions,176,61,1159,1159:5,3566;3850;5088,3566;3850;5088,,,,,
blocking,44,586,778,Properties of Transformed Secant and Cosecant Functions,AG2,AG2.9.4.4,9.4.4,9. Trigonometric Functions,9.4. Properties of Transformed Trigonometric Functions,177,61,1159,1159:5,141;776;3563;3567;5088,141;776;3563;3567;5088,,,,,
blocking,45,587,314,Defining Continuity at a Point,CA1,CA1.3.1.2,3.1.2,3. Continuity,3.1. Continuity,41,61,1159,1159:7,462;1262,462;1262,,,,,
blocking,46,589,1785,Differentiating Inverse Functions,CA1,CA1.5.2.4,5.2.4,5. Advanced Differentiation,5.2. Differentiating Implicit and Inverse Functions,85,61,1159,1159:5,305;627;1007;1036;1784,305;627;1007;1036;1784,,,,,
blocking,47,590,474,Left and Right Continuity,CA1,CA1.3.1.3,3.1.3,3. Continuity,3.1. Continuity,42,62,1159,1159:6,314,314,,,,,
blocking,48,591,57,Implicit Differentiation,CA1,CA1.5.2.1,5.2.1,5. Advanced Differentiation,5.2. Differentiating Implicit and Inverse Functions,82,62,1159,1159:5,987;1115;3739,987;1115;3739,,,,,
blocking,49,592,612,Continuity Over an Interval,CA1,CA1.3.1.8,3.1.8,3. Continuity,3.1. Continuity,47,63,1159,1159:5,474,474,,,,,
blocking,50,593,303,Differentiating Inverse Trigonometric Functions,CA1,CA1.5.2.6,5.2.6,5. Advanced Differentiation,5.2. Differentiating Implicit and Inverse Functions,87,63,1159,1159:4,57;1483;1486;1487;1785,57;1483;1486;1487;1785,,,,,
blocking,51,594,2006,Continuity of Functions,CA1,CA1.3.1.9,3.1.9,3. Continuity,3.1. Continuity,48,64,1159,1159:4,612;778;1610;1815;2064,612;778;1610;1815;2064,,,,,
blocking,52,595,1721,Differentiating Inverse Reciprocal Trigonometric Functions,CA1,CA1.5.2.7,5.2.7,5. Advanced Differentiation,5.2. Differentiating Implicit and Inverse Functions,88,64,1159,1159:3,303,303,,,,,
blocking,53,596,342,Integration Using Inverse Trigonometric Functions,CA1,CA1.8.1.7,8.1.7,8. Integration,8.1. Indefinite Integrals,148,65,1159,1159:2,1721;2883;3769,1721;2883;3769,,,,,
blocking,54,597,283,The Fundamental Theorem of Calculus,CA1,CA1.8.3.2,8.3.2,8. Integration,8.3. Definite Integrals,160,65,1159,1159:3,308;2006,308;2006,,,,,
blocking,55,598,3575,Applying the Fundamental Theorem of Calculus to Exponential and Trigonometric Functions,CA1,CA1.8.3.3,8.3.3,8. Integration,8.3. Definite Integrals,161,66,1159,1159:2,283;285;312,283;285;312,,,,,
blocking,56,599,1685,The Sum and Constant Multiple Rules for Definite Integrals,CA1,CA1.8.3.4,8.3.4,8. Integration,8.3. Definite Integrals,162,67,1159,1159:1,342;3575,342;3575,,,,,
